15
1 1 2 2 2 R 3 3 4 4 R 5 5 6 6
1 1 X 7 7 8 R 3 3 L 9 5 U 6 6
10 D 11 7 L 8 D 3 U 9 9 5 5 R 6
10 10 11 7 7 8 0 0 3 0 0 U X 2 U
0 L 0 1 0 0 2 3 1 D 0 0 0 0 0
0 2 X 0 X 3 0 0 X 3 5 4 L 3 L
5 0 3 0 0 0 U 0 3 0 0 U 3 0 0
U 0 1 2 0 L 0 0 0 D 0 1 0 L 0
R 0 L 0 U 2 0 D 1 4 0 2 X 1 D
0 D 3 X 0 0 3 0 L 1 5 0 D 2 0
0 5 0 1 D 0 U 0 2 0 3 R 4 1 0
0 1 0 4 0 3 0 0 0 U 0 0 1 D 2
3 R 0 2 3 2 X 0 D 0 0 X 0 4 0
0 2 4 0 D 4 0 3 0 X 0 0 3 0 0
0 R 0 R 0 1 0 2 X 2 0 R 0 0 1

0 1 0 3 1 0 0 0 0 1 0 0 3 0 3
3 0 0 1 0 1 0 0 4 0 3 2 0 0 2
0 0 1 5 0 0 0 3 0 1 0 5 0 0 5
1 0 0 0 4 3 0 0 3 0 0 0 0 2 0
0 0 0 1 0 0 2 3 1 0 0 0 0 0 0
0 2 0 0 0 3 0 0 0 3 5 4 0 3 0
5 0 3 0 0 0 0 0 3 0 0 0 3 0 0
0 0 1 2 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 2 0 0 1 4 0 2 0 1 0
0 0 3 0 0 0 3 0 0 1 5 0 0 2 0
0 5 0 1 0 0 0 0 2 0 3 0 4 1 0
0 1 0 4 0 3 0 0 0 0 0 0 1 0 2
3 0 0 2 3 2 0 0 0 0 0 0 0 4 0
0 2 4 0 0 4 0 3 0 0 0 0 3 0 0
0 0 0 0 0 1 0 2 0 2 0 0 0 0 1
